case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0056-ACQUIRED-SRRA,SRRA,Sierra Oncology Inc.,2022-04-13,2022-02-02,SC 13D/A,0000947871-22-000128,https://www.sec.gov/Archives/edgar/data/1290149/000094787122000128/0000947871-22-000128-index.htm,rofr_rofn,right of first refusal,"ermination of employment, has the option to repurchase such Shares or Related Securities, (ii) is required to repurchase such Shares or Related Securities or (iii) has a right of first refusal with respect to transfers of such Shares or Related Securities upon termination of service of the undersigned; (f) the “net” exercise of outstanding options or warrants in accordance with their terms pursuant to an empl",LOW,POSSIBLE_HIT
RHC-0057-ACQUIRED-TPTX,TPTX,Turning Point Therapeutics Inc.,2022-06-03,2021-03-01,10-K,0001564590-21-009849,https://www.sec.gov/Archives/edgar/data/1595893/000156459021009849/0001564590-21-009849-index.htm,rofr_rofn,right of first negotiation,"y such drug candidate in a territory that primarily includes one or more regions in the Zai Territory (but excluding a proposed worldwide license). Zai has exercised its right of first negotiation with respect to one of these drug candidates, TPX-0022. The Zai Repotrectinib Agreement will continue in effect until expiration of the last royalty term for a Repotrectinib Product in any region in the Zai Territory, w",LOW,POSSIBLE_HIT
RHC-0059-ACQUIRED-CINC,CINC,CinCor Pharma Inc.,2023-01-09,2022-05-10,10-Q,0000950170-22-009030,https://www.sec.gov/Archives/edgar/data/1868734/000095017022009030/0000950170-22-009030-index.htm,sale_process,sale of the company,"tible preferred stock senior to the Company's common stock at the time, and a probability analysis of various liquidity events at that time, such as a public offering or sale of the Company, under differing scenarios. Changes to the key assumptions used in the valuations could have resulted in different fair values of common stock at each valuation date. The Company's results and business operations can al",LOW,POSSIBLE_HIT
RHC-0059-ACQUIRED-CINC,CINC,CinCor Pharma Inc.,2023-01-09,2022-08-08,10-Q,0000950170-22-015254,https://www.sec.gov/Archives/edgar/data/1868734/000095017022015254/0000950170-22-015254-index.htm,sale_process,sale of the company,"tible preferred stock senior to the Company's common stock at the time, and a probability analysis of various liquidity events at that time, such as a public offering or sale of the Company, under differing scenarios. Changes to the key assumptions used in the valuations could have resulted in different fair values of common stock at each valuation date. The Company's results and business operations can al",LOW,POSSIBLE_HIT
RHC-0059-ACQUIRED-CINC,CINC,CinCor Pharma Inc.,2023-01-09,2022-11-03,10-Q,0000950170-22-021582,https://www.sec.gov/Archives/edgar/data/1868734/000095017022021582/0000950170-22-021582-index.htm,sale_process,sale of the company,"tible preferred stock senior to the Company's common stock at the time, and a probability analysis of various liquidity events at that time, such as a public offering or sale of the Company, under differing scenarios. Changes to the key assumptions used in the valuations could have resulted in different fair values of common stock at each valuation date. The Company's results and business operations can al",LOW,POSSIBLE_HIT
RHC-0061-ACQUIRED-DICE,DICE,DICE Therapeutics Inc.,2023-06-20,2022-10-19,SC 13D/A,0001104659-22-110002,https://www.sec.gov/Archives/edgar/data/1645569/000110465922110002/0001104659-22-110002-index.htm,acquisition_proposal,proposal to acquire,"rted herein for investment purposes and not with an intent, purpose or effect of changing control of the Issuer. Although the Reporting Persons currently have no plan or proposal to acquire any additional Issuer securities or to dispose of any of the Issuer securities reported herein, the Reporting Persons may acquire additional Issuer securities from time to time or dispose of Issuer securities they benef",LOW,POSSIBLE_HIT
RHC-0064-ACQUIRED-RETA,RETA,Reata Pharmaceuticals Inc.,2023-07-31,2022-02-28,8-K,0001564590-22-007336,https://www.sec.gov/Archives/edgar/data/1358762/000156459022007336/0001564590-22-007336-index.htm,rofr_rofn,rofr,"9\* MMO;S3YZ ^4C2#/U*G%?-22FYN;N\8$O @Q7N/B M[4/L?AW4)""=LDRK;1 ^E^EGZ=?GT.ZT&W M""*KMPSC.?3H>>2>GTXZ M.1GN?KQFG:E(JV\@)SSD= 2""<>_\C2]HZE=]M+O\+V\K:+_@!&#A0VM=-KSN ME_5CRW6ROFR Q MXX![=^.>QY]^M=+=PY5R C/;Y?FO):;:]?Q/,K1WEMVT[V^;OO^IM>""-'N+B[O]16!9K7S8+""9 M6 )V^:R?+R,[1+SC(""GZUC?%>""*S_LS3[51&)IY)YXP.%\AS''C'4,KY/+ OZ!;&&,2+P% M!)(4[B!]X_5>H.._&37 :5:*TJY7(R""HZ N1R!UY->AC*O)32U3=DU'O=776ZU5[[?EY",LOW,POSSIBLE_HIT
RHC-0066-ACQUIRED-ZYNE,ZYNE,Zynerba Pharmaceuticals Inc.,2023-08-14,2022-04-25,DEF 14A,0001104659-22-049257,https://www.sec.gov/Archives/edgar/data/1621443/000110465922049257/0001104659-22-049257-index.htm,sale_process,sale of the company,"was the chief executive officer of Prism Pharmaceuticals, Inc., a venture-backed, specialty pharmaceutical company that he led from inception in September 2004 until the sale of the company to Baxter International in May 2011. His career in the pharmaceutical industry began with Merck, Sharp and Dohme and spanned 12 years, initially as a clinical research physician in the United Kingdom, then as head of Eu",LOW,POSSIBLE_HIT
RHC-0066-ACQUIRED-ZYNE,ZYNE,Zynerba Pharmaceuticals Inc.,2023-08-14,2023-04-21,DEF 14A,0001104659-23-048365,https://www.sec.gov/Archives/edgar/data/1621443/000110465923048365/0001104659-23-048365-index.htm,sale_process,sale of the company,"was the chief executive officer of Prism Pharmaceuticals, Inc., a venture-backed, specialty pharmaceutical company that he led from inception in September 2004 until the sale of the company to Baxter International in May 2011. His career in the pharmaceutical industry began with Merck, Sharp and Dohme and spanned 12 years, initially as a clinical research physician in the United Kingdom, then as head of Eu",LOW,POSSIBLE_HIT
RHC-0067-ACQUIRED-ALPN,ALPN,Alpine Immune Sciences Inc.,2024-04-10,2023-11-13,SC 13D/A,0000947871-23-001055,https://www.sec.gov/Archives/edgar/data/1626199/000094787123001055/0000947871-23-001055-index.htm,sale_process,sale of the company,"all be made voluntarily in connection with subsequent sales of Common Stock or other securities acquired in the Public Offering or such open market transactions; (5) the sale of the Company’s securities pursuant to a plan, contract or instruction that satisfies all of the requirements of Rule 10b5-1(c)(1)(i)(B) (a “ 10b5-1 Plan ”) under the Exchange Act that was in effect prior to the date hereof; provided",LOW,POSSIBLE_HIT
RHC-0068-ACQUIRED-AMAM,AMAM,Ambrx Biopharma Inc.,2024-01-08,2023-11-13,10-Q,0000950170-23-062916,https://www.sec.gov/Archives/edgar/data/1990550/000095017023062916/0000950170-23-062916-index.htm,option_to_acquire,option to acquire,"o the conditions of the Merger Agreement, each option to purchase ordinary shares outstanding immediately prior to the effective time of the Merger was converted into an option to acquire a number of shares of common stock at (a) an adjusted exercise price determined by multiplying (x) the per share exercise price of options to acquire ordinary shares as of immediately prior to the effective time of the",LOW,POSSIBLE_HIT
